Id transacción,Comercio Id,Mes Operacion,Estado,Moneda,# Transacciones,Monto Transaccion,Monto Contracargo (Venta)
1086,10,1/7/2021,ERROR,MXN,430,"943,817.45",0
1087,10,1/8/2021,COMPLETED,MXN,"288,396","915,959,994.91",0
1088,10,1/8/2021,FAILED,MXN,"96,290","381,943,214.05",0
1089,10,1/8/2021,EXPIRED,MXN,"1,734","3,832,436.76",0
1090,10,1/8/2021,ERROR,MXN,111,"2,547,593.71",0
1091,11,1/7/2021,COMPLETED,MXN,"211,042","198,446,189.13",0
1092,11,1/7/2021,FAILED,MXN,"61,316","92,056,912.39",0
1093,11,1/7/2021,EXPIRED,MXN,"15,947","30,546,972.07",0
1094,11,1/7/2021,CANCELLED,MXN,"6,426","11,691,475.65",0
1095,11,1/7/2021,ERROR,MXN,533,"622,668.23",0
1096,11,1/7/2021,IN_PROGRESS,MXN,168,"249,751.43",0
1097,11,1/7/2021,CHARGE_PENDING,MXN,1,0.01,0
1098,11,1/8/2021,COMPLETED,MXN,"230,799","213,916,813.84",0
1099,11,1/8/2021,FAILED,MXN,"82,219","114,701,987.41",0
1100,11,1/8/2021,EXPIRED,MXN,"16,557","35,467,724.28",0
1101,11,1/8/2021,CANCELLED,MXN,"5,443","9,405,654.54",0
1102,11,1/8/2021,CHARGE_PENDING,MXN,218,"19,085.13","38,500"
1103,11,1/8/2021,IN_PROGRESS,MXN,179,"236,913.55",0
1104,11,1/8/2021,ERROR,MXN,130,"159,171.95",0
1105,12,1/7/2021,COMPLETED,MXN,"185,559","827,874,542.05",0
1106,12,1/7/2021,FAILED,MXN,"81,524","482,249,579.44",0
1107,12,1/7/2021,ERROR,MXN,315,"1,707,661.87",0
1108,12,1/8/2021,COMPLETED,MXN,"212,672","998,299,943.52",0
1109,12,1/8/2021,FAILED,MXN,"108,575","684,735,981.59",0
1110,12,1/8/2021,ERROR,MXN,109,"508,430.76",0
1111,12,1/8/2021,EXPIRED,MXN,20,"126,499.99",0
1112,13,1/7/2021,COMPLETED,JPY,"273,477","4,833,779,715",0
1113,13,1/7/2021,COMPLETED,TWD,12,"100,660",0
1114,13,1/7/2021,CHARGE_PENDING,JPY,"32,156","594,101,849",0
1115,13,1/7/2021,CHARGE_PENDING,TWD,2,"11,540",0
1116,13,1/7/2021,FAILED,JPY,"21,262","509,876,193",0
1117,13,1/7/2021,FAILED,TWD,14,"69,250",0
1118,13,1/7/2021,EXPIRED,JPY,"4,592","66,610,034",0
1119,13,1/7/2021,EXPIRED,TWD,3,"15,960",0
1120,13,1/7/2021,ERROR,JPY,22,"448,510",0
1121,13,1/7/2021,CANCELLED,JPY,17,"98,800",0
1122,13,1/8/2021,COMPLETED,JPY,"211,763","2,956,729,202",0
1123,13,1/8/2021,COMPLETED,TWD,7,"84,130",0
1124,13,1/8/2021,FAILED,JPY,"20,495","390,710,810",0
1125,13,1/8/2021,FAILED,TWD,2,"23,080",0
1126,13,1/8/2021,CHARGE_PENDING,JPY,"19,537","292,185,737",0
1127,13,1/8/2021,EXPIRED,JPY,"4,309","54,266,641",0
1128,13,1/8/2021,ERROR,JPY,132,"1,985,049",0
1129,13,1/8/2021,CANCELLED,JPY,7,"47,760",0
1130,14,1/7/2021,COMPLETED,MXN,"131,354","82,248,011.43","187,615.66"
1131,14,1/7/2021,FAILED,MXN,"66,558","54,518,892.13",0
1132,14,1/7/2021,EXPIRED,MXN,"12,745","9,971,724.49",0
1133,14,1/7/2021,ERROR,MXN,716,"569,102.78",0
1134,14,1/7/2021,CANCELLED,MXN,1,468,0
1135,14,1/8/2021,COMPLETED,MXN,"112,492","65,727,752.95","54,035.66"
1136,14,1/8/2021,FAILED,MXN,"88,891","60,731,728.44",0
1137,14,1/8/2021,EXPIRED,MXN,"18,206","11,693,118.98",0
1138,14,1/8/2021,ERROR,MXN,153,"82,929.80",0
1139,14,1/8/2021,CANCELLED,MXN,1,"1,558",0
1140,15,1/7/2021,COMPLETED,MXN,"50,269","7,714,550","65,850"
1141,15,1/7/2021,FAILED,MXN,"18,292","2,910,250",0
1142,15,1/7/2021,ERROR,MXN,14,"2,500",0
1143,15,1/8/2021,COMPLETED,MXN,"195,956","36,301,500","7,600,200"
1144,15,1/8/2021,FAILED,MXN,"142,266","34,822,200",0
1145,15,1/8/2021,ERROR,MXN,122,"27,250",0
1146,16,1/7/2021,COMPLETED,MXN,"134,435","33,785,790.10","9,719"
1147,16,1/7/2021,FAILED,MXN,"52,341","17,309,102.65",0
1148,16,1/7/2021,CANCELLED,MXN,"5,607","1,365,307.25",0
1149,16,1/7/2021,ERROR,MXN,52,"12,266.25",0
1150,16,1/7/2021,IN_PROGRESS,MXN,15,"3,709",0
