tx_agg_id,merchant_id,op_month_date,status,cc,tx_cnt,tx_amt,cb_amt,total_terminal_tx_amt,completed_tx_cnt_per,all_statuses_flag
1001,0,2021-07-01,IN_PROGRESS,MXN,3679780,1192891046.0,0.0,0.0,0.0033446380983111553,0
1002,0,2021-07-01,COMPLETED,MXN,12366,23472915.0,0.0,12919153058.399994,0.0033446380983111553,0
1003,0,2021-07-01,FAILED,MXN,5115,7124189.72,0.0,9063826205.330002,0.0033446380983111553,0
1004,0,2021-08-01,IN_PROGRESS,MXN,2536306,8193985268.0,0.0,0.0,0.003409552812932099,0
1005,0,2021-08-01,CANCELLED,MXN,876854,2786.0,0.0,0.0,0.003409552812932099,0
1006,0,2021-08-01,COMPLETED,MXN,11693,22654486.0,0.0,12919153058.399994,0.003409552812932099,0
1007,0,2021-08-01,FAILED,MXN,4629,6616879.32,38500.0,9063826205.330002,0.003409552812932099,0
1008,1,2021-07-01,IN_PROGRESS,MXN,1748668,2975559643.0,0.0,0.0,0.004667050949680695,0
1009,1,2021-07-01,COMPLETED,MXN,8218,9188680.0,0.0,12919153058.399994,0.004667050949680695,0
1010,1,2021-07-01,FAILED,MXN,3969,3114530.59,0.0,9063826205.330002,0.004667050949680695,0
1011,1,2021-08-01,IN_PROGRESS,MXN,2024423,3373727716.0,0.0,0.0,0.004140360834435155,0
1012,1,2021-08-01,COMPLETED,MXN,8433,10123512.0,0.0,12919153058.399994,0.004140360834435155,0
1013,1,2021-08-01,FAILED,MXN,3923,3188906.68,0.0,9063826205.330002,0.004140360834435155,0
1014,2,2021-07-01,FAILED,MXN,1740857,143075558.0,0.0,9063826205.330002,0.09846413704242103,0
1015,2,2021-07-01,COMPLETED,MXN,190740,14991421.4,292951.89,12919153058.399994,0.09846413704242103,0
1016,2,2021-07-01,ERROR,MXN,5528,453723.8,0.0,0.0,0.09846413704242103,0
1017,2,2021-07-01,IN_PROGRESS,MXN,27,2306.56,0.0,0.0,0.09846413704242103,0
1018,2,2021-08-01,FAILED,MXN,1399830,1046906.47,0.0,9063826205.330002,0.0,0
1020,2,2021-08-01,ERROR,MXN,555,42137.63,0.0,0.0,0.0,0
1021,2,2021-08-01,CANCELLED,MXN,8,1748135.91,0.0,0.0,0.0,0
1022,3,2021-07-01,FAILED,MXN,812579,284702277.9,0.0,9063826205.330002,0.4195941939380095,0
1023,3,2021-07-01,COMPLETED,MXN,613500,173899830.15,314904.55,12919153058.399994,0.4195941939380095,0
1024,3,2021-07-01,ERROR,MXN,19883,16321286.01,0.0,0.0,0.4195941939380095,0
1025,3,2021-07-01,CANCELLED,MXN,14659,146861.42,0.0,0.0,0.4195941939380095,0
1026,3,2021-07-01,IN_PROGRESS,MXN,1506,0.0,0.0,0.0,0.4195941939380095,0
1027,3,2021-08-01,FAILED,MXN,808349,281562047.36,0.0,9063826205.330002,0.4339967929202303,0
1028,3,2021-08-01,COMPLETED,MXN,645769,186947938.6,283435.29,12919153058.399994,0.4339967929202303,0
1029,3,2021-08-01,ERROR,MXN,18423,15530694.39,0.0,0.0,0.4339967929202303,0
1030,3,2021-08-01,CANCELLED,MXN,14977,0.0,0.0,0.0,0.4339967929202303,0
1031,3,2021-08-01,IN_PROGRESS,MXN,440,1413.62,0.0,0.0,0.4339967929202303,0
1032,4,2021-07-01,COMPLETED,MXN,788067,57990070.9,376341.6,12919153058.399994,0.6588401219586622,0
1033,4,2021-07-01,FAILED,MXN,368521,28719506.49,0.0,9063826205.330002,0.6588401219586622,0
1034,4,2021-07-01,CANCELLED,MXN,38401,5812923.14,0.0,0.0,0.6588401219586622,0
